 name	GO
PF3D7_1347200	NT1	GO:0006863
PF3D7_1347200	NT1	GO:0032238
PF3D7_1365400	Uba2	GO:0030433
PF3D7_0711000	CDC48	GO:0030433
PF3D7_1345500	UBC	GO:0030433
PF3D7_0314200	PF3D7_0314200	GO:0030433
PF3D7_0916500	UFD1	GO:0030433
PF3D7_1333200	UBA1	GO:0030433
PF3D7_0626800	PyrK	GO:0051289
PF3D7_1446400	pdhB	GO:0006086
PF3D7_1124500	pdhA	GO:0006086
PF3D7_1020800	DLAT	GO:0006086
PF3D7_1404600	ACalpha	GO:0006171
PF3D7_1408900	PF3D7_1408900	GO:0042781
PF3D7_0812400	KARalpha	GO:0044613
PF3D7_0524000	KASbeta	GO:0044613
PF3D7_0806200	DPY19	GO:0000030
PF3D7_0408500	FEN1	GO:0004520
PF3D7_1479000	ACS1a	GO:0006631
PF3D7_0103200	NT4	GO:0015211
PF3D7_1136300	TSN	GO:0003723
PF3D7_0621300	PUF3	GO:0003723
PF3D7_1459000	DBP5	GO:0003723
PF3D7_1347500	ALBA4	GO:0003723
PF3D7_0417200	DHFR-TS	GO:0003723
PF3D7_0517300	SR1	GO:0003723
PF3D7_0323500	SMN	GO:0003723
PF3D7_0630900	HAS1	GO:0003723
PF3D7_0814200	ALBA1	GO:0003723
PF3D7_0209800	UAP56	GO:0003723
PF3D7_1346300	ALBA2	GO:0003723
PF3D7_0417100	PUF2	GO:0003723
PF3D7_1006200	ALBA3	GO:0003723
PF3D7_1359400	CELF1	GO:0003723
PF3D7_1311400	AP1M1	GO:0006886
PF3D7_1105500	CEN4	GO:0007067
PF3D7_0107000	CEN1	GO:0007067
PF3D7_1446600	CEN2	GO:0007067
PF3D7_1304700	CYC4	GO:0000079
PF3D7_1304700	CYC4	GO:0051726
PF3D7_0518400	CYC3	GO:0051726
PF3D7_1107700	PES	GO:0051726
PF3D7_0822500	DLC1	GO:0003774
PF3D7_1107400	RAD51	GO:0000150
PF3D7_1232200	LPD1	GO:0003824
PF3D7_0717500	CDPK4	GO:0003824
PF3D7_1460400	UCHL3	GO:0000151
PF3D7_1426500	ABCG2	GO:0044444
PF3D7_1032800	LRR1	GO:0000164
PF3D7_1229400	MIF	GO:0016491
PF3D7_1359300	DIS3	GO:0000175
PF3D7_0906000	RNaseII	GO:0000175
PF3D7_1411400	PREX	GO:0008408
PF3D7_1449700	RRP6	GO:0000178
PF3D7_1340100	RRP42	GO:0000178
PF3D7_0209200	MTR3	GO:0000178
PF3D7_1359300	DIS3	GO:0000178
PF3D7_1364500	RRP45	GO:0000178
PF3D7_1427800	RRP41	GO:0000178
PF3D7_0720000	CSL4	GO:0000178
PF3D7_1307000	RRP40	GO:0000178
PF3D7_0410400	RRP4	GO:0000178
PF3D7_1449700	RRP6	GO:0000177
PF3D7_1359300	DIS3	GO:0000177
PF3D7_1222400	ApiAP2	GO:0043565
PF3D7_1305200	ApiAP2	GO:0043565
PF3D7_1317200	ApiAP2	GO:0043565
PF3D7_1408200	ApiAP2	GO:0043565
PF3D7_1466400	ApiAP2	GO:0043565
PF3D7_1007700	AP2-I	GO:0043565
PF3D7_0516800	ApiAP2	GO:0043565
PF3D7_0613800	ApiAP2	GO:0043565
PF3D7_1456000	ApiAP2	GO:0043565
PF3D7_1222600	AP2-G	GO:0043565
PF3D7_0604100	SIP2	GO:0043565
PF3D7_0802100	ApiAP2	GO:0043565
PF3D7_1107800	ApiAP2	GO:0043565
PF3D7_1350900	ApiAP2	GO:0043565
PF3D7_0420300	ApiAP2	GO:0043565
PF3D7_1342900	ApiAP2	GO:0043565
PF3D7_1139300	ApiAP2	GO:0043565
PF3D7_1328800	SIR2A	GO:0006342
PF3D7_0512300	MAT1	GO:0032147
PF3D7_1333200	UBA1	GO:0016567
PF3D7_1345500	UBC	GO:0016567
PF3D7_0112200	MRP1	GO:0005887
PF3D7_1339900	ABCB5	GO:0005887
PF3D7_1347200	NT1	GO:0005887
PF3D7_1229100	MRP2	GO:0005887
PF3D7_0204700	HT	GO:0005887
PF3D7_1340900	PiT	GO:0005887
PF3D7_1471200	SulP	GO:0005887
PF3D7_0206800	MSP2	GO:0005887
PF3D7_0316600	FNT	GO:0005887
PF3D7_0817900	HMGB2	GO:0005694
PF3D7_1202900	HMGB1	GO:0005694
PF3D7_1343000	PMT	GO:0000234
PF3D7_1446600	CEN2	GO:0005813
PF3D7_0107000	CEN1	GO:0005813
PF3D7_1027700	CEN3	GO:0005813
PF3D7_1105500	CEN4	GO:0005813
PF3D7_0929400	RhopH2	GO:0043234
PF3D7_0905400	RhopH3	GO:0043234
PF3D7_1129100	PV1	GO:0043234
PF3D7_0202200	PTP1	GO:0043234
PF3D7_0903800	CCp4	GO:0043234
PF3D7_0935400	GDV1	GO:0043234
PF3D7_1123500	GP2	GO:0043234
PF3D7_1475500	CCp1	GO:0043234
PF3D7_1226900	PV2	GO:0043234
PF3D7_0424000	PF3D7_0424000	GO:0043234
PF3D7_1035400	MSP3	GO:0043234
PF3D7_1451600	LAP5	GO:0043234
PF3D7_1024800	EXP3	GO:0043234
PF3D7_1035500	MSP6	GO:0043234
PF3D7_1407000	CCp3	GO:0043234
PF3D7_0930300	MSP1	GO:0043234
PF3D7_0303400	DHHC1	GO:0000139
PF3D7_1305500	MKP1	GO:0007049
PF3D7_1304100	LigI	GO:0000287
PF3D7_1366500	NDK	GO:0000287
PF3D7_1144900	RAB6	GO:0006891
PF3D7_1215000	Trx-Px2	GO:0006979
PF3D7_1438900	Trx-Px1	GO:0006979
PF3D7_0802200	1-CysPxn	GO:0006979
PF3D7_1116200	PDX2	GO:0000304
PF3D7_0616000	PDXK	GO:0000304
